Departure,Arrival,Airline,DepartureAirport,ArrivalAirport,Date,Price
CHI,LA,Spirit,CHI,LAX,3/23,89
CHI,LA,Spirit,CHI,LAX,3/24,87
CHI,LA,Spirit,CHI,LAX,3/25,68
CHI,LA,Spirit,CHI,LAX,3/26,55
CHI,LA,Spirit,CHI,LAX,3/27,89
CHI,LA,Spirit,CHI,LAX,3/28,89
CHI,LA,Spirit,CHI,LAX,3/29,88
CHI,LA,Spirit,CHI,LAX,3/30,112
CHI,NY,Spirit,CHI,LGA,3/23,129
CHI,NY,Frontier,CHI,LGA,3/23,122
CHI,NY,Spirit,CHI,EWR,3/24,64
CHI,NY,Spirit,CHI,EWR,3/25,49
CHI,NY,Spirit,CHI,EWR,3/26,49
CHI,NY,Spirit,CHI,EWR,3/27,49
CHI,NY,Spirit,CHI,EWR,3/28,64
CHI,NY,Spirit,CHI,EWR,3/29,37
CHI,NY,Spirit,CHI,EWR,3/30,64
LA,NY,Spirit,LAX,LGA,3/23,138
LA,NY,Spirit,LAX,EWR,3/24,73
LA,NY,Spirit,LAX,EWR,3/25,72
LA,NY,Spirit,LAX,EWR,3/26,78
LA,NY,Spirit,LAX,EWR,3/27,106
LA,NY,JetBlue,LAX,JFK,3/28,184
LA,NY,Spirit,LAX,EWR,3/29,133
LA,NY,Alaska,LAX,EWR,3/30,209
LA,CHI,Spirit,LAX,CHI,3/23,114
LA,CHI,Spirit,LAX,CHI,3/24,89
LA,CHI,Spirit,LAX,CHI,3/25,43
LA,CHI,American,LAX,CHI,3/26,90
LA,CHI,Spirit,LAX,CHI,3/27,89
LA,CHI,Spirit,LAX,CHI,3/28,134
LA,CHI,Spirit,LAX,CHI,3/29,239
LA,CHI,Spirit,LAX,CHI,3/30,145
NY,CHI,Spirit,EWR,CHI,3/23,64
NY,CHI,Spirit,EWR,CHI,3/24,37
NY,CHI,Spirit,EWR,CHI,3/25,37
NY,CHI,Spirit,EWR,CHI,3/26,37
NY,CHI,Spirit,EWR,CHI,3/27,49
NY,CHI,Spirit,EWR,CHI,3/28,109
NY,CHI,Spirit,EWR,CHI,3/29,84
NY,CHI,Spirit,EWR,CHI,3/30,253
NY,LA,Spirit,EWR,LAX,3/23,73
NY,LA,Spirit,EWR,LAX,3/24,73
NY,LA,Spirit,EWR,LAX,3/25,59
NY,LA,Spirit,EWR,LAX,3/26,55
NY,LA,Spirit,EWR,LAX,3/27,103
NY,LA,Spirit,EWR,LAX,3/28,106
NY,LA,Spirit,EWR,LAX,3/29,90
NY,LA,Spirit,EWR,LAX,3/30,133
